col_dir_id,L_delta,M_delta,S_delta,dataset,R_delta,col_dir_label
1,0.918203011274591,0.395254682570263,0.0260185701481506,rovamo1993,NaN,NA
2,0.904788433511642,0.419896446537257,0.0710272114680906,colorfest,NaN,NA
3,0.762860488743917,-0.646494144848117,-0.00944433112997181,colorfest,NaN,NA
4,0.450449715432406,0.274890824273731,0.84942927227461,colorfest,NaN,NA
5,0.766925216033909,-0.0694277639018228,0.637969825784053,colorfest,NaN,NA
6,-0.0906177317785783,0.632741846000858,0.769042380501057,colorfest,NaN,NA
7,0.920237208107341,0.35142827109546,0.172225581983812,colorfest,NaN,NA
8,0.844691543097658,0.500503498113539,0.18971675043445,colorfest,NaN,NA
9,0.904788433511642,0.419896446537257,0.0710272114680906,hdr_csf,5.49959834023673,C1
10,0.762860488743917,-0.646494144848118,-0.00944433112997181,hdr_csf,-5.76960760471416,C2
11,0.450449715432405,0.274890824273731,0.84942927227461,hdr_csf,42.8877851968423,C3
12,0.766925216033909,-0.069427763901823,0.637969825784053,hdr_csf,29.8416336357902,C4
13,-0.0906177317785786,0.632741846000858,0.769042380501057,hdr_csf,42.0272871794181,C5
14,0.920237208107341,0.35142827109546,0.172225581983812,hdr_csf,9.93679723235337,C6
15,0.844691543097658,0.500503498113539,0.189716750434451,hdr_csf,11.9126081607126,C7
16,0.907280065212026,0.415719244202353,0.0634065711790695,kim2013,NaN,C1
17,0.758376869995201,-0.651752741220131,-0.00910425001451218,kim2013,NaN,C2
18,0.523090228316175,0.249070792289613,0.815070765926712,kim2013,NaN,C3
19,0.804948528200354,-0.0996612984816828,0.58491494469968,kim2013,NaN,C4
20,-0.0486024612742341,0.649192967102891,0.759069359296126,kim2013,NaN,C5
21,0.92643355856601,0.343624281277201,0.153763503080047,kim2013,NaN,C6
22,0.855340901521558,0.489602168599142,0.169356602136752,kim2013,NaN,C7
23,0.697988316479905,0.302011683520095,0.019616470026626,hdrvdp_csf,2.4327067281852,NA
24,0.06556575584802,-0.0434335239911867,-0.00185470747221306,five_centres,-0.430916753178423,NA
25,0.057419317802875,-0.0344768649773748,-0.00830979451792224,five_centres,-0.572650185244555,NA
26,0.0453635064095224,-0.0229463266961183,-0.0146245208076079,five_centres,-0.687820471042301,NA
