observer,age,luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,area,log_cone_contrast,dataset,ge_lambda,stim_id,t_frequency,orientation,eccentricity,vis_field,var_log_cone_contrast,stimulus,sensitivity
obs_63,NaN,50,0.125,1,1,4.4143593773175,61.2188611096406,-2.14285714285714,rovamo1993,0.551794922164688,-1,0,0,0,180,0,grating,138.949549437313
obs_63,NaN,50,0.125,1,1,8.87455070549337,247.424455358884,-2.22527472527473,rovamo1993,1.10931883818667,-1,0,0,0,180,0,grating,167.986632911378
obs_63,NaN,50,0.125,1,1,17.5076696085025,962.956252459904,-2.34065934065934,rovamo1993,2.18845870106281,-1,0,0,0,180,0,grating,219.108557989222
obs_63,NaN,50,0.25,1,1,2.14297399243167,14.4272538540853,-1.92391304347826,rovamo1993,0.535743498107918,-1,0,0,0,180,0,grating,83.9291922645137
obs_63,NaN,50,0.25,1,1,4.37744786138333,60.1993548138352,-2.1195652173913,rovamo1993,1.09436196534583,-1,0,0,0,180,0,grating,131.693766054906
obs_63,NaN,50,0.25,1,1,8.77529647989799,241.920944502639,-2.39673913043478,rovamo1993,2.1938241199745,-1,0,0,0,180,0,grating,249.309673776862
obs_63,NaN,50,0.25,1,1,17.2639173970251,936.329208823939,-2.4945652173913,rovamo1993,4.31597934925628,-1,0,0,0,180,0,grating,312.295134022162
obs_63,NaN,50,0.5,1,1,1.12781553327762,3.99600493830675,-1.83977900552486,rovamo1993,0.563907766638811,-1,0,0,0,180,0,grating,69.1479016345791
obs_63,NaN,50,0.5,1,1,2.25450436199808,15.9680554669721,-2.07182320441989,rovamo1993,1.12725218099904,-1,0,0,0,180,0,grating,117.984024040972
obs_63,NaN,50,0.5,1,1,4.42317382323793,61.4635847636877,-2.30386740331492,rovamo1993,2.21158691161896,-1,0,0,0,180,0,grating,201.310952318754
obs_63,NaN,50,0.5,1,1,9.00901056397837,254.978795396292,-2.58563535911602,rovamo1993,4.50450528198918,-1,0,0,0,180,0,grating,385.15483944781
obs_63,NaN,50,0.5,1,1,17.675024440648,981.453930705507,-2.66850828729282,rovamo1993,8.837512220324,-1,0,0,0,180,0,grating,466.131322726707
obs_63,NaN,50,1,1,1,0.564189583547756,1,-1.80327868852459,rovamo1993,0.564189583547756,-1,0,0,0,180,0,grating,63.5738757116483
obs_63,NaN,50,1,1,1,1.10994795320508,3.87039332517875,-2.0327868852459,rovamo1993,1.10994795320508,-1,0,0,0,180,0,grating,107.841739692904
obs_63,NaN,50,1,1,1,2.18363559829861,14.9799444915882,-2.31147540983607,rovamo1993,2.18363559829861,-1,0,0,0,180,0,grating,204.868604813362
obs_63,NaN,50,1,1,1,4.37744786138333,60.1993548138352,-2.60655737704918,rovamo1993,4.37744786138333,-1,0,0,0,180,0,grating,404.16376730001
obs_63,NaN,50,1,1,1,8.77529647989799,241.920944502639,-2.73770491803279,rovamo1993,8.77529647989799,-1,0,0,0,180,0,grating,546.644418403073
obs_63,NaN,50,1,1,1,17.2639173970251,936.329208823939,-2.77049180327869,rovamo1993,17.2639173970251,-1,0,0,0,180,0,grating,589.510850740029
obs_63,NaN,50,2,1,1,0.275390943410654,0.238258926299324,-1.86885245901639,rovamo1993,0.550781886821307,-1,0,0,0,180,0,grating,73.9354054836423
obs_63,NaN,50,2,1,1,0.553641124845763,0.962956252459903,-2.04918032786885,rovamo1993,1.10728224969153,-1,0,0,0,180,0,grating,111.990279327247
obs_63,NaN,50,2,1,1,1.09222046469117,3.74774895556145,-2.32786885245902,rovamo1993,2.18444092938233,-1,0,0,0,180,0,grating,212.749649104015
obs_63,NaN,50,2,1,1,2.15472711464946,14.5859401172504,-2.50819672131148,rovamo1993,4.30945422929891,-1,0,0,0,180,0,grating,322.252816145084
obs_63,NaN,50,2,1,1,4.33182561748702,58.9510850740029,-2.67213114754098,rovamo1993,8.66365123497404,-1,0,0,0,180,0,grating,470.03602789074
obs_63,NaN,50,2,1,1,8.87455070549337,247.424455358884,-2.78688524590164,rovamo1993,17.7491014109867,-1,0,0,0,180,0,grating,612.188611096406
obs_63,NaN,50,4,1,1,0.13804224706826,0.059865127672007,-1.84615384615385,rovamo1993,0.552168988273042,-1,0,0,0,180,0,grating,70.1703828670389
obs_63,NaN,50,4,1,1,0.276466462098508,0.240123565063052,-2.09340659340659,rovamo1993,1.10586584839403,-1,0,0,0,180,0,grating,123.995691068473
obs_63,NaN,50,4,1,1,0.553697917040357,0.963153821612097,-2.39010989010989,rovamo1993,2.21479166816143,-1,0,0,0,180,0,grating,245.533011253185
obs_63,NaN,50,4,1,1,1.10892793653066,3.86328298866628,-2.53846153846154,rovamo1993,4.43571174612262,-1,0,0,0,180,0,grating,345.510729459223
obs_63,NaN,50,4,1,1,2.22092431734489,15.4959209169076,-2.58791208791209,rovamo1993,8.88369726937957,-1,0,0,0,180,0,grating,387.179262201983
obs_63,NaN,50,4,1,1,4.44799401375485,62.1553134387268,-2.75274725274725,rovamo1993,17.7919760550194,-1,0,0,0,180,0,grating,565.909849466364
obs_63,NaN,50,8,1,1,0.0697135109630176,0.0152680573923005,-1.61538461538462,rovamo1993,0.55770808770414,-1,0,0,0,180,0,grating,41.246263829014
obs_63,NaN,50,8,1,1,0.133998747604836,0.056409383242646,-1.86263736263736,rovamo1993,1.07198998083869,-1,0,0,0,180,0,grating,72.884866499332
obs_63,NaN,50,8,1,1,0.272401094004082,0.233113576534588,-2.12637362637363,rovamo1993,2.17920875203266,-1,0,0,0,180,0,grating,133.774589314891
obs_63,NaN,50,8,1,1,0.533458622666735,0.894028474922,-2.40659340659341,rovamo1993,4.26766898133388,-1,0,0,0,180,0,grating,255.031254144316
obs_63,NaN,50,8,1,1,1.04470249335058,3.42874458816758,-2.58791208791209,rovamo1993,8.35761994680461,-1,0,0,0,180,0,grating,387.179262201983
obs_63,NaN,50,8,1,1,2.08445551533644,13.6500780654603,-2.6043956043956,rovamo1993,16.6756441226916,-1,0,0,0,180,0,grating,402.156973981069
obs_63,NaN,50,16,1,1,0.0318780082989586,0.00319250974354507,-0.901639344262295,rovamo1993,0.510048132783338,-1,0,0,0,180,0,grating,7.97332275225632
obs_63,NaN,50,16,1,1,0.0682448198629489,0.0146315136295742,-1.26229508196721,rovamo1993,1.09191711780718,-1,0,0,0,180,0,grating,18.2934274335285
obs_63,NaN,50,16,1,1,0.132839089464919,0.0554372467076938,-1.59016393442623,rovamo1993,2.1254254314387,-1,0,0,0,180,0,grating,38.9192026739295
obs_63,NaN,50,16,1,1,0.26860309593562,0.226658442850066,-1.80327868852459,rovamo1993,4.29764953496991,-1,0,0,0,180,0,grating,63.5738757116483
obs_63,NaN,50,16,1,1,0.543120428157202,0.92670637100898,-1.86885245901639,rovamo1993,8.68992685051523,-1,0,0,0,180,0,grating,73.9354054836423
obs_63,NaN,50,16,1,1,1.07749880999025,3.64740064925302,-1.78688524590164,rovamo1993,17.2399809598441,-1,0,0,0,180,0,grating,61.2188611096406
obs_63,NaN,50,32,1,1,0.0681384541841504,0.0145859401172504,-0.590163934426229,rovamo1993,2.18043053389281,-1,0,0,0,180,0,grating,3.89192026739294
obs_63,NaN,50,32,1,1,0.136984353779243,0.0589510850740029,-0.868852459016393,rovamo1993,4.38349932093578,-1,0,0,0,180,0,grating,7.39354054836428
obs_63,NaN,50,32,1,1,0.275390943410654,0.238258926299324,-0.983606557377049,rovamo1993,8.81251018914092,-1,0,0,0,180,0,grating,9.62956252459902
obs_63,NaN,50,32,1,1,0.553641124845763,0.962956252459903,-1.08196721311475,rovamo1993,17.7165159950644,-1,0,0,0,180,0,grating,12.0772265513445
obs_63,Inf,40,1.2,2,2,0.5,0.785398163397448,-1.80515682086008,colorfest,1.2,-1,0,0,0,180,Inf,gabor,63.8494000522813
obs_63,Inf,40,2,2,2,0.5,0.785398163397448,-1.99337433613994,colorfest,2,-1,0,0,0,180,Inf,gabor,98.4859630732807
obs_63,Inf,40,2.8,2,2,0.5,0.785398163397448,-2.00368040366947,colorfest,2.8,-1,0,0,0,180,Inf,gabor,100.851045236337
obs_63,Inf,40,4,2,2,0.5,0.785398163397448,-1.91989324101739,colorfest,4,-1,0,0,0,180,Inf,gabor,83.1559330695752
obs_63,Inf,40,5.66,2,2,0.5,0.785398163397448,-1.87565644583208,colorfest,5.66,-1,0,0,0,180,Inf,gabor,75.1028548291369
obs_63,Inf,40,8,2,2,0.5,0.785398163397448,-1.59786281053701,colorfest,8,-1,0,0,0,180,Inf,gabor,39.6152873593342
obs_63,Inf,40,11.3,2,2,0.5,0.785398163397448,-1.41335107702719,colorfest,11.3,-1,0,0,0,180,Inf,gabor,25.9030603285809
obs_63,Inf,40,16,2,2,0.5,0.785398163397448,-1.14436555537491,colorfest,16,-1,0,0,0,180,Inf,gabor,13.9432994783493
obs_63,Inf,40,22.6,2,2,0.5,0.785398163397448,-0.730831735578253,colorfest,22.6,-1,0,0,0,180,Inf,gabor,5.38061273971845
obs_63,Inf,40,30,2,2,0.5,0.785398163397448,-0.414687653704042,colorfest,30,-1,0,0,0,180,Inf,gabor,2.59829019051267
obs_71,Inf,40,1.2,2,2,0.5,0.785398163397448,-1.73060844970951,colorfest,1.2,-1,0,0,0,180,Inf,gabor,53.7784709095153
obs_71,Inf,40,2,2,2,0.5,0.785398163397448,-1.9757847829985,colorfest,2,-1,0,0,0,180,Inf,gabor,94.5768364541586
obs_71,Inf,40,2.8,2,2,0.5,0.785398163397448,-2.09893141570299,colorfest,2.8,-1,0,0,0,180,Inf,gabor,125.583162562231
obs_71,Inf,40,4,2,2,0.5,0.785398163397448,-2.04451200608884,colorfest,4,-1,0,0,0,180,Inf,gabor,110.792919369912
obs_71,Inf,40,5.66,2,2,0.5,0.785398163397448,-1.70915197659658,colorfest,5.66,-1,0,0,0,180,Inf,gabor,51.1860924326826
obs_71,Inf,40,8,2,2,0.5,0.785398163397448,-1.9281575443274,colorfest,8,-1,0,0,0,180,Inf,gabor,84.7534809448177
obs_71,Inf,40,11.3,2,2,0.5,0.785398163397448,-1.69072628658015,colorfest,11.3,-1,0,0,0,180,Inf,gabor,49.0598579706367
obs_71,Inf,40,16,2,2,0.5,0.785398163397448,-1.28260081894677,colorfest,16,-1,0,0,0,180,Inf,gabor,19.1690600970708
obs_71,Inf,40,22.6,2,2,0.5,0.785398163397448,-0.916277469392234,colorfest,22.6,-1,0,0,0,180,Inf,gabor,8.24664822526561
obs_71,Inf,40,30,2,2,0.5,0.785398163397448,-0.499965467875786,colorfest,30,-1,0,0,0,180,Inf,gabor,3.16202622749262
obs_72,Inf,40,1.2,2,2,0.5,0.785398163397448,-1.47570286884807,colorfest,1.2,-1,0,0,0,180,Inf,gabor,29.9021811978891
obs_72,Inf,40,2,2,2,0.5,0.785398163397448,-1.79915321646134,colorfest,2,-1,0,0,0,180,Inf,gabor,62.9728308003527
obs_72,Inf,40,2.8,2,2,0.5,0.785398163397448,-1.912676869154,colorfest,2.8,-1,0,0,0,180,Inf,gabor,81.785604713822
obs_72,Inf,40,4,2,2,0.5,0.785398163397448,-1.91400216810428,colorfest,4,-1,0,0,0,180,Inf,gabor,82.0355639735604
obs_72,Inf,40,5.66,2,2,0.5,0.785398163397448,-1.75903128468891,colorfest,5.66,-1,0,0,0,180,Inf,gabor,57.4157820554257
obs_72,Inf,40,8,2,2,0.5,0.785398163397448,-1.62162621812932,colorfest,8,-1,0,0,0,180,Inf,gabor,41.8433279401831
obs_72,Inf,40,11.3,2,2,0.5,0.785398163397448,-1.25864969510547,colorfest,11.3,-1,0,0,0,180,Inf,gabor,18.1405184588465
obs_72,Inf,40,16,2,2,0.5,0.785398163397448,-1.13682880513889,colorfest,16,-1,0,0,0,180,Inf,gabor,13.7034148376775
obs_72,Inf,40,22.6,2,2,0.5,0.785398163397448,-0.74692269296319,colorfest,22.6,-1,0,0,0,180,Inf,gabor,5.58370792521649
obs_72,Inf,40,30,2,2,0.5,0.785398163397448,-0.263675619067624,colorfest,30,-1,0,0,0,180,Inf,gabor,1.83516711802172
obs_63,Inf,40,1.2,3,2,0.5,0.785398163397448,-2.62482046020989,colorfest,1.2,-1,0,0,0,180,Inf,gabor,421.522207743773
obs_63,Inf,40,2,3,2,0.5,0.785398163397448,-2.43576366238157,colorfest,2,-1,0,0,0,180,Inf,gabor,272.749311127979
obs_63,Inf,40,2.8,3,2,0.5,0.785398163397448,-2.34405727692594,colorfest,2.8,-1,0,0,0,180,Inf,gabor,220.829595491741
obs_63,Inf,40,4,3,2,0.5,0.785398163397448,-2.22463025303266,colorfest,4,-1,0,0,0,180,Inf,gabor,167.737533653094
obs_63,Inf,40,5.66,3,2,0.5,0.785398163397448,-2.12538319109739,colorfest,5.66,-1,0,0,0,180,Inf,gabor,133.469855750361
obs_63,Inf,40,8,3,2,0.5,0.785398163397448,-2.09140802308659,colorfest,8,-1,0,0,0,180,Inf,gabor,123.426388931853
obs_63,Inf,40,11.3,3,2,0.5,0.785398163397448,-1.85983525821933,colorfest,11.3,-1,0,0,0,180,Inf,gabor,72.416121047025
obs_71,Inf,40,1.2,3,2,0.5,0.785398163397448,-2.71977528801545,colorfest,1.2,-1,0,0,0,180,Inf,gabor,524.53598541793
obs_71,Inf,40,2,3,2,0.5,0.785398163397448,-2.52958963051733,colorfest,2,-1,0,0,0,180,Inf,gabor,338.524129908128
obs_71,Inf,40,2.8,3,2,0.5,0.785398163397448,-2.49878778316341,colorfest,2.8,-1,0,0,0,180,Inf,gabor,315.346331541558
obs_71,Inf,40,4,3,2,0.5,0.785398163397448,-2.26606180577574,colorfest,4,-1,0,0,0,180,Inf,gabor,184.527800765005
obs_71,Inf,40,5.66,3,2,0.5,0.785398163397448,-2.17166095788875,colorfest,5.66,-1,0,0,0,180,Inf,gabor,148.477606467336
obs_71,Inf,40,8,3,2,0.5,0.785398163397448,-2.14856888423194,colorfest,8,-1,0,0,0,180,Inf,gabor,140.789051871082
obs_71,Inf,40,11.3,3,2,0.5,0.785398163397448,-2.03511480196067,colorfest,11.3,-1,0,0,0,180,Inf,gabor,108.421347852639
obs_71,Inf,40,16,3,2,0.5,0.785398163397448,-1.91608062581009,colorfest,16,-1,0,0,0,180,Inf,gabor,82.4291128634291
obs_71,Inf,40,22.6,3,2,0.5,0.785398163397448,-1.51883793872537,colorfest,22.6,-1,0,0,0,180,Inf,gabor,33.0246283378976
